Page,Height(px),Status,Suggestion
b'https://basis.org.bd',2837,Flash Scrolling,Page height =< 1556 px
b'https://basis.org.bd/index.php/site/about',2865,Flash Scrolling,Page height =< 1556 px
b'https://basis.org.bd/index.php/site/annualReport',2478,Flash Scrolling,Page height =< 1556 px
b'https://basis.org.bd/index.php/site/currentNews',4020,Flash Scrolling,Page height =< 1556 px
b'https://basis.org.bd/index.php/site/mission',2233,Flash Scrolling,Page height =< 1556 px
b'https://basis.org.bd/index.php/site/vision',2233,Flash Scrolling,Page height =< 1556 px
b'https://basis.org.bd/index.php/site/coreValues',2233,Flash Scrolling,Page height =< 1556 px
b'https://basis.org.bd/index.php/site/aboutPage/31',2504,Flash Scrolling,Page height =< 1556 px
b'https://basis.org.bd/index.php/site/aboutPage/16',8236,Flash Scrolling,Page height =< 1556 px
b'https://basis.org.bd/index.php/site/aboutPage/17',2233,Flash Scrolling,Page height =< 1556 px
