Page,Element,Undescriptive Status,Suggestion
b'https://aquibazmain.github.io',"b'<a href=""index.html""><b>Md. Aquib Azmain</b></a>'",False,None
b'https://aquibazmain.github.io',"b'<a class=""nav-link"" href=""education.html""><span>Education</span></a>'",False,None
b'https://aquibazmain.github.io',"b'<a class=""nav-link"" href=""publications.html""><span>Publications</span></a>'",False,None
b'https://aquibazmain.github.io',"b'<a class=""nav-link"" href=""projects.html""><span>Projects</span></a>'",False,None
b'https://aquibazmain.github.io',"b'<a class=""nav-link"" href=""experience.html""><span>Experience</span></a>'",False,None
b'https://aquibazmain.github.io',"b'<a class=""nav-link"" href=""skills.html""><span>Skills</span></a>'",False,None
b'https://aquibazmain.github.io',"b'<a class=""nav-link"" href=""awards.html""><span>Awards</span></a>'",False,None
b'https://aquibazmain.github.io',"b'<a class=""nav-link"" href=""co-curricular.html""><span>Co-curricular</span></a>'",False,None
b'https://aquibazmain.github.io',"b'<a class=""btn btn-primary w3-btn"" href=""documents/Md. Aquib Azmain - 08122020.pdf"" target=""_blank"">DOWNLOAD CV</a>'",False,None
b'https://aquibazmain.github.io',"b'<a href=""mailto: aquibazmain123@gmail.com"">aquibazmain123@gmail.com</a>'",False,None
b'https://aquibazmain.github.io',"b'<a href=""https://www.github.com/AquibAzmain"" target=""_blank"">github.com/AquibAzmain</a>'",False,None
b'https://aquibazmain.github.io',"b'<a href=""https://www.hackerrank.com/aquibazmain"" target=""_blank"">hackerrank.com/aquibazmain</a>'",False,None
b'https://aquibazmain.github.io',"b'<a class=""fa fa-facebook"" href=""https://www.facebook.com/AzmainAquib"" target=""_blank""></a>'",True,Provide meaningful text for this element
b'https://aquibazmain.github.io',"b'<a class=""fa fa-linkedin"" href=""https://www.linkedin.com/in/aquib-azmain-a63188107"" target=""_blank""></a>'",True,Provide meaningful text for this element
b'https://aquibazmain.github.io',"b'<a class=""fa fa-youtube"" href=""https://www.youtube.com/channel/UCFb8C97iwhhH6xRwQi93OKg"" target=""_blank""></a>'",True,Provide meaningful text for this element
b'https://aquibazmain.github.io',"b'<a class=""fa fa-instagram"" href=""https://www.instagram.com/aquib_azmain/"" target=""_blank""></a>'",True,Provide meaningful text for this element
b'https://aquibazmain.github.io',"b'<a class=""fa fa-skype"" href=""skype:aquibazmain?chat"" target=""_blank""></a>'",True,Provide meaningful text for this element
b'https://aquibazmain.github.io',"b'<a href=""index.html""><span class=""icon-long-arrow-right mr-2""></span>Home</a>'",True,Provide meaningful text for this element
b'https://aquibazmain.github.io',"b'<a href=""education.html""><span class=""icon-long-arrow-right mr-2""></span>Education</a>'",True,Provide meaningful text for this element
b'https://aquibazmain.github.io',"b'<a href=""publications.html""><span class=""icon-long-arrow-right mr-2""></span>Publication</a>'",True,Provide meaningful text for this element
