Page,Element,Undescriptive Status,Suggestion
b'https://basis.org.bd',"b'<a href=""https://basis.org.bd/index.php/site/about"">About BASIS</a>'",False,None
b'https://basis.org.bd',"b'<a href=""http://www.basis.org.bd/index.php/site/memberPage/3"">Membership</a>'",False,None
b'https://basis.org.bd',"b'<a href=""https://basis.org.bd/index.php/site/annualReport"">Resources</a>'",False,None
b'https://basis.org.bd',"b'<a href=""https://basis.org.bd/index.php/site/currentNews"">Media Center</a>'",False,None
b'https://basis.org.bd',"b'<a href=""http://www.basis.org.bd/index.php/site/basisInPage/13"">Our Initiatives</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsA"" href=""https://basis.org.bd/index.php/site/about"">About BASIS</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsAS bigMenuItemDetailsA"" href=""https://basis.org.bd/index.php/site/mission"">Mission</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsAS bigMenuItemDetailsA"" href=""https://basis.org.bd/index.php/site/vision"">Vision</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsAS bigMenuItemDetailsA"" href=""https://basis.org.bd/index.php/site/coreValues"">Core Values</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsA"" href=""https://basis.org.bd/index.php/site/aboutPage/31"">Executive Council (EC)</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsA"" href=""https://basis.org.bd/index.php/site/aboutPage/16"">Previous ECs</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsA"" href=""#"">Committees &amp; Forums</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsAS bigMenuItemDetailsA"" href=""https://basis.org.bd/index.php/site/aboutPage/17"">Standing Committee(s)</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsAS bigMenuItemDetailsA"" href=""https://basis.org.bd/index.php/site/aboutPage/19"">Forums/Focus Groups</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsAS bigMenuItemDetailsA"" href=""https://basis.org.bd/index.php/site/aboutPage/18"">Board Sub-Committees</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsAS bigMenuItemDetailsA"" href=""https://basis.org.bd/index.php/site/aboutPage/32"">Advisory Committees</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsAS bigMenuItemDetailsA"" href=""https://basis.org.bd/index.php/site/aboutPage/33"">Other Committees</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsAS bigMenuItemDetailsA"" href=""https://basis.org.bd/index.php/site/aboutPage/13"">BASIS E-Commerce Alliance</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsAS bigMenuItemDetailsA"" href=""http://studentsforum.basis.org.bd/"">BASIS Students Forum</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsAS bigMenuItemDetailsA"" href=""https://basis.org.bd/index.php/site/aboutPage/14"">BASIS Womens Forum</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsA"" href=""https://basis.org.bd/index.php/site/aboutPage/20"">BASIS Secretariat</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsA"" href=""http://www.onebangladesh.com.bd/"">One Bangladesh</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsA"" href=""http://www.bangladeshnext.com.bd/"">Bangladesh Next</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsA"" href=""https://basis.org.bd/index.php/site/memberPage/3"">Membership Process</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsA"" href=""#"">Services for Members</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsAS bigMenuItemDetailsA"" href=""https://basis.org.bd/index.php/site/memberPage/9"">General Services</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsAS bigMenuItemDetailsA"" href=""https://basis.org.bd/index.php/memberpanel"">Member Services</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsAS bigMenuItemDetailsA"" href=""http://basis.eserve.org.bd/"">Non-member Services</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsA"" href=""https://basis.org.bd/index.php/site/memberPage/11"">Code of Conduct</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsA"" href=""https://basis.org.bd/index.php/site/memberList"">Member List</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsA"" href=""https://basis.org.bd/index.php/site/knowledgePage/1"">About Bangladesh ICT Sector</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsA"" href=""https://basis.org.bd/index.php/site/publications"">Publications</a>'",False,None
b'https://basis.org.bd',"b'<a class=""bigMenuItemDetailsA"" href=""https://basis.org.bd/index.php/site/circulars"">Circulars</a>'",False,None
